date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:36:51	82878/82878	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Feb%202022%2019:22:40%20GMT	https://demo.webtend.net/html/lezar/assets/images/booking/booking-page.jpg	C:/My%20Web%20Sites/saloon/demo.webtend.net/html/lezar/assets/images/booking/booking-page.jpg	(from https://demo.webtend.net/html/lezar/booking.html)
09:36:52	8850/8850	---M--	200	added ('OK')	image/png	date:Mon,%2014%20Feb%202022%2000:21:48%20GMT	https://demo.webtend.net/html/lezar/assets/images/shapes/booking-circle.png	C:/My%20Web%20Sites/saloon/demo.webtend.net/html/lezar/assets/images/shapes/booking-circle.png	(from https://demo.webtend.net/html/lezar/booking.html)
09:36:55	246368/246368	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Feb%202022%2019:21:36%20GMT	https://demo.webtend.net/html/lezar/assets/images/banners/faq-banner.jpg	C:/My%20Web%20Sites/saloon/demo.webtend.net/html/lezar/assets/images/banners/faq-banner.jpg	(from https://demo.webtend.net/html/lezar/faqs.html)
09:36:56	61942/61942	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Feb%202022%2019:23:24%20GMT	https://demo.webtend.net/html/lezar/assets/images/contacts/faq-page.jpg	C:/My%20Web%20Sites/saloon/demo.webtend.net/html/lezar/assets/images/contacts/faq-page.jpg	(from https://demo.webtend.net/html/lezar/faqs.html)
09:36:57	98026/98026	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Feb%202022%2019:35:28%20GMT	https://demo.webtend.net/html/lezar/assets/images/teams/team-left.jpg	C:/My%20Web%20Sites/saloon/demo.webtend.net/html/lezar/assets/images/teams/team-left.jpg	(from https://demo.webtend.net/html/lezar/team.html)
09:36:59	37977/37977	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Feb%202022%2019:35:28%20GMT	https://demo.webtend.net/html/lezar/assets/images/teams/team-member-1.jpg	C:/My%20Web%20Sites/saloon/demo.webtend.net/html/lezar/assets/images/teams/team-member-1.jpg	(from https://demo.webtend.net/html/lezar/team.html)
09:37:00	52418/52418	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Feb%202022%2019:35:28%20GMT	https://demo.webtend.net/html/lezar/assets/images/teams/team-member-2.jpg	C:/My%20Web%20Sites/saloon/demo.webtend.net/html/lezar/assets/images/teams/team-member-2.jpg	(from https://demo.webtend.net/html/lezar/team.html)
09:37:03	65526/65526	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Feb%202022%2019:35:28%20GMT	https://demo.webtend.net/html/lezar/assets/images/teams/team-member-3.jpg	C:/My%20Web%20Sites/saloon/demo.webtend.net/html/lezar/assets/images/teams/team-member-3.jpg	(from https://demo.webtend.net/html/lezar/team.html)
09:37:03	46640/46640	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Feb%202022%2019:35:28%20GMT	https://demo.webtend.net/html/lezar/assets/images/teams/team-member-4.jpg	C:/My%20Web%20Sites/saloon/demo.webtend.net/html/lezar/assets/images/teams/team-member-4.jpg	(from https://demo.webtend.net/html/lezar/team.html)
09:37:05	58554/58554	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Feb%202022%2019:35:28%20GMT	https://demo.webtend.net/html/lezar/assets/images/teams/team-member-5.jpg	C:/My%20Web%20Sites/saloon/demo.webtend.net/html/lezar/assets/images/teams/team-member-5.jpg	(from https://demo.webtend.net/html/lezar/team.html)
